,time,mid_c,Long_Signal,Short_Signal
0,2003-03-21 18:00:00,895.3,,
1,2003-03-24 06:00:00,879.4,0.0,0.0
2,2003-03-24 10:00:00,877.9,0.0,0.0
3,2003-03-24 14:00:00,867.9,0.0,0.0
4,2003-03-24 18:00:00,864.4,0.0,0.0
5,2003-03-25 06:00:00,860.9,0.0,0.0
6,2003-03-25 10:00:00,864.4,0.0,0.0
7,2003-03-25 14:00:00,878.2,0.0,0.0
8,2003-03-25 18:00:00,874.2,0.0,0.0
9,2003-03-26 06:00:00,874.4,0.0,0.0
10,2003-03-26 10:00:00,873.4,0.0,0.0
11,2003-03-26 14:00:00,873.1,0.0,0.0
12,2003-03-26 18:00:00,869.6,0.0,0.0
13,2003-03-27 06:00:00,863.6,0.0,0.0
14,2003-03-27 10:00:00,861.4,0.0,0.0
15,2003-03-27 14:00:00,869.4,0.0,0.0
16,2003-03-27 18:00:00,868.9,0.0,0.0
17,2003-03-28 06:00:00,865.4,0.0,0.0
18,2003-03-28 10:00:00,863.6,0.0,0.0
19,2003-03-28 14:00:00,864.6,0.0,0.0
20,2003-03-28 18:00:00,863.9,0.0,0.0
21,2003-03-31 06:00:00,851.8,0.0,0.0
22,2003-03-31 10:00:00,851.0,0.0,0.0
23,2003-03-31 14:00:00,851.8,0.0,0.0
24,2003-03-31 18:00:00,845.5,0.0,0.0
25,2003-04-01 06:00:00,849.8,0.0,0.0
26,2003-04-01 10:00:00,852.0,0.0,0.0
27,2003-04-01 14:00:00,858.8,0.0,0.0
28,2003-04-01 18:00:00,858.8,0.0,0.0
29,2003-04-02 06:00:00,865.3,0.0,0.0
30,2003-04-02 10:00:00,871.8,0.0,0.0
31,2003-04-02 14:00:00,881.8,0.0,0.0
32,2003-04-02 18:00:00,879.3,0.0,0.0
33,2003-04-03 06:00:00,885.8,0.0,0.0
34,2003-04-03 10:00:00,887.8,0.0,0.0
35,2003-04-03 14:00:00,879.3,0.0,0.0
36,2003-04-03 18:00:00,874.8,0.0,0.0
37,2003-04-04 06:00:00,877.0,0.0,0.0
38,2003-04-04 10:00:00,883.3,0.0,0.0
39,2003-04-04 14:00:00,877.8,0.0,0.0
40,2003-04-04 18:00:00,879.8,0.0,0.0
41,2003-04-07 05:00:00,901.8,0.0,0.0
42,2003-04-07 09:00:00,900.5,0.0,0.0
43,2003-04-07 13:00:00,897.0,0.0,0.0
44,2003-04-07 17:00:00,877.7,0.0,0.0
45,2003-04-08 05:00:00,882.0,0.0,0.0
46,2003-04-08 09:00:00,882.5,0.0,0.0
47,2003-04-08 13:00:00,881.5,0.0,0.0
48,2003-04-08 17:00:00,879.4,0.0,0.0
49,2003-04-09 05:00:00,873.4,0.0,0.0
50,2003-04-09 09:00:00,878.2,0.0,0.0
51,2003-04-09 13:00:00,870.2,0.0,0.0
52,2003-04-09 17:00:00,867.7,0.0,0.0
53,2003-04-10 05:00:00,868.1,0.0,0.0
54,2003-04-10 09:00:00,869.4,0.0,0.0
55,2003-04-10 13:00:00,868.4,1.0,0.0
56,2003-04-10 17:00:00,873.1,0.0,0.0
57,2003-04-11 05:00:00,873.6,0.0,0.0
58,2003-04-11 09:00:00,880.9,0.0,0.0
59,2003-04-11 13:00:00,869.9,0.0,0.0
60,2003-04-11 17:00:00,869.6,0.0,0.0
61,2003-04-14 05:00:00,871.3,0.0,0.0
62,2003-04-14 09:00:00,872.6,0.0,0.0
63,2003-04-14 13:00:00,881.9,0.0,0.0
64,2003-04-14 17:00:00,886.6,0.0,0.0
65,2003-04-15 05:00:00,888.6,0.0,0.0
66,2003-04-15 09:00:00,887.3,0.0,0.0
67,2003-04-15 13:00:00,890.6,0.0,0.0
68,2003-04-15 17:00:00,894.6,0.0,0.0
69,2003-04-16 05:00:00,901.1,1.0,0.0
70,2003-04-16 09:00:00,898.8,0.0,0.0
71,2003-04-16 13:00:00,887.3,0.0,0.0
72,2003-04-16 17:00:00,880.1,0.0,0.0
73,2003-04-17 05:00:00,882.8,0.0,0.0
74,2003-04-17 09:00:00,881.0,0.0,0.0
75,2003-04-17 13:00:00,889.3,0.0,0.0
76,2003-04-17 17:00:00,893.1,0.0,0.0
77,2003-04-21 05:00:00,894.5,0.0,0.0
78,2003-04-21 09:00:00,893.5,0.0,0.0
79,2003-04-21 13:00:00,891.5,0.0,0.0
80,2003-04-21 17:00:00,894.0,0.0,0.0
81,2003-04-22 05:00:00,891.5,0.0,0.0
82,2003-04-22 09:00:00,889.5,0.0,0.0
83,2003-04-22 13:00:00,904.5,0.0,0.0
84,2003-04-22 17:00:00,911.5,1.0,0.0
85,2003-04-23 05:00:00,912.7,0.0,0.0
86,2003-04-23 09:00:00,912.0,0.0,0.0
87,2003-04-23 13:00:00,919.7,0.0,0.0
88,2003-04-23 17:00:00,919.0,0.0,0.0
89,2003-04-24 05:00:00,916.0,0.0,0.0
90,2003-04-24 09:00:00,913.2,0.0,0.0
91,2003-04-24 13:00:00,910.2,0.0,0.0
92,2003-04-24 17:00:00,910.7,0.0,0.0
